source,source_accession,title,discovery_score,query_hits,geo_accessions,ena_study_accessions,ena_project_accessions,biosample_accessions,expression_atlas_accessions,biostudies_url,ftp_link,relationship_role,independence_note
BIOSTUDIES_ARRAYEXPRESS,E-GEOD-38415,Trastuzumab produces therapeutic actions by upregulating miR-26a and miR-30b in breast cancer cells,86,"""HER2-positive"" AND breast AND resistance || BT474 AND trastuzumab || SKBR3 AND trastuzumab",GSE38415,,,,E-GEOD-38415,https://www.ebi.ac.uk/biostudies/studies/E-GEOD-38415,ftp://ftp.ebi.ac.uk/biostudies/fire/E-GEOD-/415/E-GEOD-38415,EXTERNAL_DISCOVERY_LEAD,Cross-database mirrors must not be counted as independent validation datasets.
BIOSTUDIES_ARRAYEXPRESS,E-GEOD-52660,Effects of differentiated hMADS adipocytes on BT474 and SKBR3 breast cancer cells,86,"""HER2"" AND trastuzumab AND resistance || ""HER2-positive"" AND breast AND resistance || BT474 AND trastuzumab || SKBR3 AND trastuzumab",GSE52660,,,,E-GEOD-52660,https://www.ebi.ac.uk/biostudies/studies/E-GEOD-52660,ftp://ftp.ebi.ac.uk/biostudies/fire/E-GEOD-/660/E-GEOD-52660,EXTERNAL_DISCOVERY_LEAD,Cross-database mirrors must not be counted as independent validation datasets.
BIOSTUDIES_ARRAYEXPRESS,E-GEOD-41118,Mutant PI3K cooperates with HER2 to promote mammary tumor formation and induces trastuzumab resistance in vivo,85,"""HER2"" AND trastuzumab AND resistance || ""anti-HER2"" AND resistance AND breast || ERBB2 AND trastuzumab AND resistance",GSE41118,,,,E-GEOD-41118,https://www.ebi.ac.uk/biostudies/studies/E-GEOD-41118,ftp://ftp.ebi.ac.uk/biostudies/fire/E-GEOD-/118/E-GEOD-41118,EXTERNAL_DISCOVERY_LEAD,Cross-database mirrors must not be counted as independent validation datasets.
BIOSTUDIES_ARRAYEXPRESS,E-GEOD-15043,Gene expression profiles of Herceptin-resistant breast cancer cells,78,"""HER2"" AND trastuzumab AND resistance || ""HER2-positive"" AND breast AND resistance || BT474 AND trastuzumab",GSE15043,,,,E-GEOD-15043,https://www.ebi.ac.uk/biostudies/studies/E-GEOD-15043,ftp://ftp.ebi.ac.uk/biostudies/fire/E-GEOD-/043/E-GEOD-15043,EXTERNAL_DISCOVERY_LEAD,Cross-database mirrors must not be counted as independent validation datasets.
BIOSTUDIES_ARRAYEXPRESS,E-GEOD-17630,HER2-positive breast cancer cells resistant to trastuzumab and lapatinib lose reliance upon HER2 and are sensitive to the multitargeted kinase inhibitor sorafenib,78,"""HER2"" AND trastuzumab AND resistance || ""HER2-positive"" AND breast AND resistance || ""anti-HER2"" AND resistance AND breast || SKBR3 AND trastuzumab",GSE17630,,,,E-GEOD-17630,https://www.ebi.ac.uk/biostudies/studies/E-GEOD-17630,ftp://ftp.ebi.ac.uk/biostudies/fire/E-GEOD-/630/E-GEOD-17630,EXTERNAL_DISCOVERY_LEAD,Cross-database mirrors must not be counted as independent validation datasets.
BIOSTUDIES_ARRAYEXPRESS,E-GEOD-55005,mRNA profiling reveals determinants of trastuzumab efficiency in HER2-positive breast cancer,78,"""HER2-positive"" AND breast AND resistance || ""trastuzumab resistant"" AND breast || BT474 AND trastuzumab",GSE55005,SRP037775,,,E-GEOD-55005,https://www.ebi.ac.uk/biostudies/studies/E-GEOD-55005,ftp://ftp.ebi.ac.uk/biostudies/fire/E-GEOD-/005/E-GEOD-55005,EXTERNAL_DISCOVERY_LEAD,Cross-database mirrors must not be counted as independent validation datasets.
BIOSTUDIES_ARRAYEXPRESS,E-GEOD-67019,Interaction of CDCP1 with HER2 enhances HER2-driven tumorigenesis and promotes trastuzumab resistance in breast cancer,78,"""HER2"" AND trastuzumab AND resistance || SKBR3 AND trastuzumab",GSE67019,,,,E-GEOD-67019,https://www.ebi.ac.uk/biostudies/studies/E-GEOD-67019,ftp://ftp.ebi.ac.uk/biostudies/fire/E-GEOD-/019/E-GEOD-67019,EXTERNAL_DISCOVERY_LEAD,Cross-database mirrors must not be counted as independent validation datasets.
BIOSTUDIES_ARRAYEXPRESS,E-GEOD-69042,Treatment effects of trastuzumab and TDM-1 in a murine model of breast cancer brain metastasis,78,"""HER2"" AND trastuzumab AND resistance || ""HER2-positive"" AND breast AND resistance || BT474 AND trastuzumab",GSE69042,,,,E-GEOD-69042,https://www.ebi.ac.uk/biostudies/studies/E-GEOD-69042,ftp://ftp.ebi.ac.uk/biostudies/fire/E-GEOD-/042/E-GEOD-69042,EXTERNAL_DISCOVERY_LEAD,Cross-database mirrors must not be counted as independent validation datasets.
BIOSTUDIES_ARRAYEXPRESS,E-MTAB-7433,RNA-seq of HER2-positive breast cancer BT474 cell line in response to KDM5 ihibition,78,"""HER2"" AND trastuzumab AND resistance || ""HER2-positive"" AND breast AND resistance || BT474 AND trastuzumab",,ERP112312,,,E-MTAB-7433,https://www.ebi.ac.uk/biostudies/studies/E-MTAB-7433,ftp://ftp.ebi.ac.uk/biostudies/fire/E-MTAB-/433/E-MTAB-7433,EXTERNAL_DISCOVERY_LEAD,Cross-database mirrors must not be counted as independent validation datasets.
BIOSTUDIES_ARRAYEXPRESS,E-MTAB-965,Modulation of microRNA-194 and Cell Migration by HER2-targeting Trastuzumab in Breast Cancer,71,BT474 AND trastuzumab || SKBR3 AND trastuzumab,,,,,E-MTAB-965,https://www.ebi.ac.uk/biostudies/studies/E-MTAB-965,ftp://ftp.ebi.ac.uk/biostudies/fire/E-MTAB-/965/E-MTAB-965,EXTERNAL_DISCOVERY_LEAD,Cross-database mirrors must not be counted as independent validation datasets.
