script,exists,has_main_guard,cli_args,required_cli_detected,network_dependency,manual_or_curated_logic,interactive_input,external_tool_refs,imports,default_noninteractive_candidate,notes
00a_dataset_discovery.py,True,True,--query-family --retmax --sources,False,True,False,False,,__future__ argparse atlas_data json pandas pathlib re sys xml,True,NETWORK_DEPENDENCY
00b_metadata_catalog.py,True,True,--input,False,False,True,False,,__future__ argparse atlas_data duckdb pandas pathlib sys,True,MANUAL_OR_CURATED_LOGIC_PRESENT
00c_dataset_eligibility.py,True,True,--catalog,False,False,True,False,,__future__ argparse atlas_data duckdb pandas pathlib sys,True,MANUAL_OR_CURATED_LOGIC_PRESENT
00d_metadata_enrichment.py,True,True,--accessions --max-datasets --min-score --sources --workers,False,True,True,False,,__future__ argparse concurrent csv duckdb gzip io json pandas pathlib re requests sys time typing,True,MANUAL_OR_CURATED_LOGIC_PRESENT | NETWORK_DEPENDENCY
00d1_phenotype_audit.py,True,True,,False,False,True,False,,__future__ collections pandas pathlib re sys,True,MANUAL_OR_CURATED_LOGIC_PRESENT
00d2_conservative_phenotype_classifier.py,True,True,--dry-run,False,False,False,False,,__future__ argparse collections duckdb pandas pathlib re sys,True,
00d2b_curated_study_phenotype_mapping.py,True,True,--accessions --dry-run,False,True,True,False,,__future__ argparse duckdb pandas pathlib re sys,True,MANUAL_OR_CURATED_LOGIC_PRESENT | NETWORK_DEPENDENCY
00d2c_confirm_her2_status.py,True,False,,False,True,False,False,,duckdb pathlib,False,NETWORK_DEPENDENCY | NO_MAIN_GUARD
00d3_dataset_relationship_audit.py,True,True,,False,True,False,False,,__future__ itertools pandas pathlib sys,True,NETWORK_DEPENDENCY
00c4_independence_modality_scoring.py,True,True,,False,False,True,False,,__future__ duckdb json pandas pathlib sys,True,MANUAL_OR_CURATED_LOGIC_PRESENT
00e_primary_validation_expression_fetch.py,True,True,--accessions,False,True,True,False,,__future__ argparse hashlib html pandas pathlib re requests shutil sys tarfile urllib,True,MANUAL_OR_CURATED_LOGIC_PRESENT | NETWORK_DEPENDENCY
