check,target,status,detail
python_version,3.12.13,PASS,requires Python >= 3.10
python_import,pandas,PASS,
python_import,numpy,PASS,
python_import,scipy,PASS,
python_import,requests,PASS,
python_import,duckdb,PASS,
python_import,pydeseq2,PASS,
python_import,gseapy,PASS,
python_import,rdkit,PASS,
python_import,vina,PASS,
python_import,openbabel,PASS,
runner_script,00y_runtime_preflight.py,PASS,
runner_script,00a_dataset_discovery.py,PASS,
runner_script,00a2_ebi_external_discovery.py,PASS,
runner_script,00b_metadata_catalog.py,PASS,
runner_script,00c_dataset_eligibility.py,PASS,
runner_script,00d_metadata_enrichment.py,PASS,
runner_script,00d_ebi_metadata_enrichment.py,PASS,
runner_script,00d1_phenotype_audit.py,PASS,
runner_script,00d2_conservative_phenotype_classifier.py,PASS,
runner_script,00d2b_curated_study_phenotype_mapping.py,PASS,
runner_script,00d2c_confirm_her2_status.py,PASS,
runner_script,00d3_dataset_relationship_audit.py,PASS,
runner_script,00c4_independence_modality_scoring.py,PASS,
runner_script,00w_scientific_automation_gate.py,PASS,
runner_script,00e_primary_validation_expression_fetch.py,PASS,
runner_script,00aa_dataset_volume_metadata.py,PASS,
runner_script,00f_primary_validation_matrix_inspection.py,PASS,
runner_script,00f1_primary_validation_design_audit.py,PASS,
runner_script,00g_primary_validation_differential_expression.py,PASS,
runner_script,00h_cross_study_deg_concordance.py,PASS,
runner_script,00i_consensus_resistance_signature.py,PASS,
runner_script,00j_discovery_consensus_validation.py,PASS,
runner_script,00k_strict_core_pathway_validation.py,PASS,
runner_script,00l_tgfb_ranked_validation.py,PASS,
runner_script,00m_tgfb_gene_level_audit.py,PASS,
runner_script,00n_tgfb_leading_edge_comparison.py,PASS,
runner_script,00o_tgfb_reproducible_module_validation.py,PASS,
runner_script,00p_tgfb_module_score_validation.py,PASS,
runner_script,00q_tgfb_dual_module_cross_dataset_audit.py,PASS,
runner_script,00r_tgfb_final_evidence_synthesis.py,PASS,
runner_script,00s_validated_resistance_evidence_export.py,PASS,
runner_script,04g_cmap_submit_all.py,PASS,
runner_script,04h_cmap_check_all_jobs.py,PASS,
runner_script,04j_cmap_download_all.py,PASS,
runner_script,04k_cmap_parse_all_tau.py,PASS,
runner_script,04l_cmap_prioritize.py,PASS,
runner_script,04m_cmap_drug_filter.py,PASS,
runner_script,04n_regulatory_status.py,PASS,
runner_script,04o_safety_screening.py,PASS,
runner_script,04p_drug_target_annotation.py,PASS,
runner_script,04q_network_integration.py,PASS,
runner_script,04r_final_candidate_prioritization.py,PASS,
runner_script,04s_target_supported_docking.py,PASS,
runner_script,04t_admet_structural_assessment.py,PASS,
runner_script,04u_integrated_evidence_matrix.py,PASS,
writable_directory,/home/regulus/Documents/ATLAS/results,PASS,
writable_directory,/home/regulus/Documents/ATLAS/logs,PASS,
writable_directory,/home/regulus/Documents/ATLAS/data,PASS,
disk_space,/home/regulus/Documents/ATLAS,PASS,50.71 GiB free; minimum 3.0 GiB
network_connectivity,NCBI,PASS,eutils.ncbi.nlm.nih.gov
network_connectivity,STRING,PASS,string-db.org
network_connectivity,UniProt,PASS,rest.uniprot.org
network_connectivity,PubChem,PASS,pubchem.ncbi.nlm.nih.gov
network_connectivity,ClinicalTrials,PASS,clinicaltrials.gov
cmap_environment,CLUE_API_KEY,PASS,set
