dataset_id,sample_id,title,source_name,proposed_status,phenotype_confidence,primary_contrast_included,mapping_reason
GEO:GSE114575,GSM3145240,10705X1 (SKBr3),SKBr3,SENSITIVE_OR_PARENTAL,HIGH,True,Curated GSE114575 rule: parental SKBr3
GEO:GSE114575,GSM3145241,10705X2 (Her/trastuz resist),Her/trastuz resist,RESISTANT,HIGH,True,Curated GSE114575 rule: explicitly trastuzumab-resistant sample
GEO:GSE114575,GSM3145242,10705X3 (Lap/lapatinib resist),Lap/lapatinib resist,EXCLUDE_FROM_PRIMARY_CONTRAST,HIGH,False,Curated GSE114575 rule: lapatinib or sequential multidrug resistance excluded from trastuzumab-only contrast
GEO:GSE114575,GSM3145243,10705X4 (Her/Lap resist - sequential),Her/Lap resist - sequential,EXCLUDE_FROM_PRIMARY_CONTRAST,HIGH,False,Curated GSE114575 rule: lapatinib or sequential multidrug resistance excluded from trastuzumab-only contrast
GEO:GSE114575,GSM3145244,10705X5 (Lap/Her resist - sequential),Lap/Her resist - sequential,EXCLUDE_FROM_PRIMARY_CONTRAST,HIGH,False,Curated GSE114575 rule: lapatinib or sequential multidrug resistance excluded from trastuzumab-only contrast
GEO:GSE121105,GSM3426212,BT474_replicate1,BT474,SENSITIVE_OR_PARENTAL,HIGH,True,Curated GSE121105 rule: untreated parental BT474
GEO:GSE121105,GSM3426213,BT474_replicate2,BT474,SENSITIVE_OR_PARENTAL,HIGH,True,Curated GSE121105 rule: untreated parental BT474
GEO:GSE121105,GSM3426214,BT474_replicate3,BT474,SENSITIVE_OR_PARENTAL,HIGH,True,Curated GSE121105 rule: untreated parental BT474
GEO:GSE121105,GSM3426215,BT474+trastuzumab_replicate1,BT474+trastuzumab,EXCLUDE_FROM_PRIMARY_CONTRAST,HIGH,False,Curated GSE121105 rule: acute-treatment or dual-resistance group excluded from clean trastuzumab-resistance contrast
GEO:GSE121105,GSM3426216,BT474+trastuzumab_replicate2,BT474+trastuzumab,EXCLUDE_FROM_PRIMARY_CONTRAST,HIGH,False,Curated GSE121105 rule: acute-treatment or dual-resistance group excluded from clean trastuzumab-resistance contrast
GEO:GSE121105,GSM3426217,BT474+trastuzumab_replicate3,BT474+trastuzumab,EXCLUDE_FROM_PRIMARY_CONTRAST,HIGH,False,Curated GSE121105 rule: acute-treatment or dual-resistance group excluded from clean trastuzumab-resistance contrast
GEO:GSE121105,GSM3426218,BT474+trastuzumab+pertuzumab_replicate1,BT474+trastuzumab+pertuzumab,EXCLUDE_FROM_PRIMARY_CONTRAST,HIGH,False,Curated GSE121105 rule: acute-treatment or dual-resistance group excluded from clean trastuzumab-resistance contrast
GEO:GSE121105,GSM3426219,BT474+trastuzumab+pertuzumab_replicate2,BT474+trastuzumab+pertuzumab,EXCLUDE_FROM_PRIMARY_CONTRAST,HIGH,False,Curated GSE121105 rule: acute-treatment or dual-resistance group excluded from clean trastuzumab-resistance contrast
GEO:GSE121105,GSM3426220,BT474+trastuzumab+pertuzumab_replicate3,BT474+trastuzumab+pertuzumab,EXCLUDE_FROM_PRIMARY_CONTRAST,HIGH,False,Curated GSE121105 rule: acute-treatment or dual-resistance group excluded from clean trastuzumab-resistance contrast
GEO:GSE121105,GSM3426221,BT-TR1_replicate1,BT-TR1,RESISTANT,HIGH,True,Curated GSE121105 rule: BT-TR1/BT-TR2 trastuzumab-resistant clone
GEO:GSE121105,GSM3426222,BT-TR1_replicate2,BT-TR1,RESISTANT,HIGH,True,Curated GSE121105 rule: BT-TR1/BT-TR2 trastuzumab-resistant clone
GEO:GSE121105,GSM3426223,BT-TR1_replicate3,BT-TR1,RESISTANT,HIGH,True,Curated GSE121105 rule: BT-TR1/BT-TR2 trastuzumab-resistant clone
GEO:GSE121105,GSM3426224,BT-TR2_replicate1,BT-TR2,RESISTANT,HIGH,True,Curated GSE121105 rule: BT-TR1/BT-TR2 trastuzumab-resistant clone
GEO:GSE121105,GSM3426225,BT-TR2_replicate2,BT-TR2,RESISTANT,HIGH,True,Curated GSE121105 rule: BT-TR1/BT-TR2 trastuzumab-resistant clone
